sp_ives	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	npp	humid	pevapo	soilmoist	gdd	evapo
Sapajus_apella_21	0.638397869	0.081313524	0.457686575	-1.392349728	0.633799884	0.573225414	-0.250992255	0.307732097	0.744825616	0.20549474	0.916406933	1.336625991	1.241097539	-0.559802071	0.221969922	1.432641683	-0.352685092	0.209589738	-0.343753017	0.436794814	1.000801221	0.834636225	0.310173249	0.699627978	0.973806273
Sapajus_apella_22	0.638397869	0.081313524	0.457686575	-1.392349728	0.633799884	0.573225414	-0.250992255	0.307732097	0.744825616	0.20549474	0.916406933	1.336625991	1.241097539	-0.559802071	0.221969922	1.432641683	-0.352685092	0.209589738	-0.343753017	0.436794814	1.000801221	0.834636225	0.310173249	0.699627978	0.973806273
Sapajus_cay	0.334233012	1.679739563	0.151362426	-0.913415694	1.224954209	-0.381826698	1.283490946	0.048077931	0.360856443	-0.124444142	0.515753619	0.344893008	0.754723806	-1.063813699	1.116270216	0.906897146	-1.075352867	1.298772254	-0.776809226	0.185902189	0.337595621	0.227388143	0.120964968	0.538226144	0.24793027
Sapajus_cay_2	0.37274534	2.085252822	-0.105034325	-0.731861306	1.709856476	-0.568205143	1.833391199	0.133660615	0.340356534	-0.016353518	0.468932899	0.276725109	0.568757378	-1.063813699	0.994000698	0.790626719	-1.046446156	1.211018212	-0.767394961	-0.190436597	0.005992822	0.334305062	0.042214376	0.674455215	0.275697188
Sapajus_cay_3	0.721701977	1.474528398	0.38431204	-0.773631998	1.356321633	-0.02340637	0.947003837	0.652136923	0.583899108	0.491970295	0.741162852	0.122797595	0.668893147	-1.032312972	0.804349086	0.462036383	-1.007903875	-0.115616416	-0.739152165	-0.662114528	-0.159808578	-0.087456032	-0.253667407	0.539706895	-0.50155584
Sapajus_cay_4	0.230952753	2.201581184	0.133457648	-0.304398459	1.184384941	-0.792080038	1.743050142	0.127012783	0.087588649	-0.033739495	0.212309427	-0.059716457	0.096688754	-1.032312972	0.947586274	0.365986901	-0.988632734	-0.244666477	-0.770533049	0.130705941	-0.491411378	-0.120622513	-0.136105764	0.573764163	-0.206608842
Sapajus_cay_5	0.768840328	1.241326684	-0.027335771	-0.380349261	1.367913908	-0.09067922	1.03472714	0.801281114	0.486932758	0.694922019	0.639494273	-0.19825122	0.296960292	-1.032312972	1.077626129	0.269937418	-1.056081726	-0.244666477	-0.801913934	-0.265704291	-0.657212778	0.039941314	-0.350790487	0.859549061	-0.344114882
Sapajus_cay_6	0.768840328	1.241326684	-0.027335771	-0.380349261	1.367913908	-0.09067922	1.03472714	0.801281114	0.486932758	0.694922019	0.639494273	-0.19825122	0.296960292	-1.032312972	1.077626129	0.269937418	-1.056081726	-0.244666477	-0.801913934	-0.265704291	-0.657212778	0.039941314	-0.350790487	0.859549061	-0.344114882
Sapajus_cay_7	0.254862659	1.935480364	0.066945575	-0.374285078	1.159271419	-0.657534603	1.56629747	0.080067885	0.137609086	0.032777896	0.254225454	-0.220240865	0.139604084	-1.063813699	1.113125731	0.295213597	-1.075352867	-0.44082257	-0.795637757	-0.361043435	-0.491411378	-0.630217302	-0.114151551	0.372382058	-0.690757775
Sapajus_cay_8	-0.081913466	1.670651017	0.918389254	-0.920381555	0.372995852	-0.428145687	0.761085579	-0.414727973	0.216534788	-0.4445563	0.344745724	0.408662978	0.42570628	-0.874809338	0.554608913	0.593472518	-0.757379046	1.221342217	-0.663838041	0.190920276	-0.325609978	-0.642204128	0.328401926	0.542668396	-0.300406664
Sapajus_cay_9	0.372820673	1.229329618	0.203718022	0.155152678	0.427088217	-0.483287216	0.863209982	0.732732243	0.020962775	0.332480809	0.152110997	-0.391760095	-0.30385432	-0.559802071	0.347076321	-0.306359479	-0.516489788	1.154236185	-0.676390395	-0.150293706	0.005992822	0.273474723	-0.422492675	0.595975424	0.289800452
Sapajus_cay_10	0.51726116	0.829268863	-0.348969719	0.087713279	0.954490568	-0.214196348	0.901178401	0.874814967	0.158519554	0.467783039	0.301715315	-0.470922816	-0.718702505	-0.591302798	0.224778666	-0.533845096	-0.670658913	0.756761997	-0.726599811	-0.285775741	-0.657212778	0.784898164	-0.842227103	0.99281663	0.405632161
Sapajus_cay_11	0.910783582	1.105730733	-0.325994655	0.592721416	1.354390817	-0.182214181	1.134232535	1.464331453	0.255075344	1.246709154	0.406727684	-0.589666898	-0.34676965	-0.402298438	0.394304053	-0.377132782	-0.477947507	0.106349689	-0.663838041	-0.441329222	0.005992822	0.37772216	-0.906311851	0.906933086	-0.036704526
Sapajus_cay_12	0.562507539	0.632964755	-0.739945814	0.763474488	1.006653951	-0.27926343	1.013778831	1.13363711	-0.03274743	0.812082459	0.093696728	-0.607258614	-0.518430968	-0.433799164	0.242206034	-0.503513681	-0.535760929	0.152807711	-0.682666572	-0.732364436	-0.491411378	0.864947906	-1.096640303	0.901010083	0.673636171
