Bioma,Specie,Sesso,analisar,local,ordemTPS,long,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,AET,NPP,CHMmais2
AF,Sapajus_nigritus,M,y,51,175,-51.967,-23.933,1.322219295,2.089905111,1.785329835,3.461348434,2.481442629,2.008600172,2.303196057,2.385606274,2.26245109,2.385606274,2.230448921,3.173477643,2.307496038,1.819543936,1.568201724,2.726727209,2.397940009,2.726727209,2.469822016,1.91755381,0.043755106,1.230448921
AM,Sapajus_apella,M,y,3,176,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AM,Sapajus_apella,M,y,3,177,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AM,Sapajus_apella,F,y,3,178,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
SV,Sapajus_cay,M,y,24,179,-53.267,-22.283,1.359835482,2.093421685,1.819543936,3.335457901,2.498310554,2.11058971,2.269512944,2.389166084,2.307496038,2.399673721,2.294466226,3.126131407,2.264817823,1.431363764,1.633468456,2.692846919,2.190331698,2.671172843,2.278753601,1.943401497,-0.08937559,1.079181246
AM,Sapajus_apella,M,y,2,180,-61.933,-10.867,1.389166084,2.113943352,1.838849091,2.725911632,2.5289167,2.181843588,2.269512944,2.389166084,2.383815366,2.399673721,2.376576957,3.284881715,2.5132176,0.77815125,1.851258349,2.951823035,1.672097858,2.40654018,1.973127854,1.983766969,-0.068033876,0.301029996
AM,Sapajus_apella,F,y,3,181,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AM,Sapajus_apella,M,y,3,182,-63.467,-8.75,1.414973348,2.012837225,1.857332496,2.762678564,2.51851394,2.271841607,2.155336037,2.411619706,2.408239965,2.426511261,2.401400541,3.359835482,2.558708571,1.361727836,1.799340549,3.004321374,1.991226076,2.699837726,2.274157849,2.038624145,-0.069050976,1.491361694
AM,Sapajus_apella,M,y,23,183,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,F,y,23,184,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,F,y,23,185,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,M,y,22,186,-51.583,-0.933,1.431363764,1.954242509,1.919078092,2.700703717,2.51851394,2.346352974,2.033423755,2.424881637,2.440909082,2.440909082,2.419955748,3.400710637,2.532754379,1.77815125,1.653212514,2.98721923,2.416640507,2.456366033,2.936513742,2.073355374,-0.096910006,1.322219295
AM,Sapajus_apella,M,y,11,187,-51.217,-3.217,1.423245874,1.963787827,1.897627091,2.667452953,2.51054501,2.318063335,2.064457989,2.418301291,2.42975228,2.432969291,2.414973348,3.355259906,2.59439255,1.51851394,1.84509804,3.005609445,2.079181246,2.217483944,2.973127854,2.034693417,-0.066006823,1.579783597
AM,Sapajus_apella,F,y,23,188,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,F,y,19,189,-49.917,-1.25,1.42975228,1.973127854,1.939519253,2.561101384,2.514547753,2.340444115,2.033423755,2.424881637,2.436162647,2.436162647,2.421603927,3.43806745,2.604226053,1.806179974,1.73239376,3.07114529,2.359835482,2.482873584,3.054613055,2.066535373,-0.040958595,1.477121255
AM,Sapajus_apella,M,y,23,190,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,M,y,21,191,-50.683,-1.033,1.42975228,1.963787827,1.929418926,2.64246452,2.515873844,2.342422681,2.033423755,2.423245874,2.437750563,2.437750563,2.419955748,3.435366507,2.564666064,1.982271233,1.602059991,3.009450896,2.540329475,2.58546073,3.004321374,2.085545654,-0.060980215,1.431363764
AM,Sapajus_apella,M,y,23,192,-51.283,-0.1,1.431363764,1.903089987,1.897627091,2.774516966,2.515873844,2.356025857,2.004321374,2.421603927,2.442479769,2.444044796,2.418301291,3.383635868,2.565847819,1.505149978,1.770852012,3.012837225,2.158362492,2.23299611,2.987666265,2.073760486,-0.096910006,1.255272505
AM,Sapajus_apella,F,y,18,193,-52.017,-1.433,1.432969291,1.963787827,1.919078092,2.709269961,2.521138084,2.346352974,2.041392685,2.426511261,2.442479769,2.442479769,2.421603927,3.37821615,2.550228353,1.72427587,1.716003344,3.006037955,2.342422681,2.390935107,2.906873535,2.047528751,-0.106238242,0.301029996
AM,Sapajus_apella,M,y,9,194,-49.483,-4.65,1.431363764,2.004321374,1.934498451,2.474216264,2.519827994,2.330413773,2.068185862,2.428134794,2.437750563,2.437750563,2.424881637,3.33825723,2.611723308,1.342422681,1.897627091,3.056142262,1.934498451,2.155336037,3.048053173,1.959673283,-0.052076368,0.301029996
AM,Sapajus_apella,F,y,5,195,-49.217,-5.233,1.431363764,1.991226076,1.908485019,2.521138084,2.522444234,2.328379603,2.079181246,2.424881637,2.436162647,2.437750563,2.424881637,3.280805928,2.555094449,1.204119983,1.892094603,2.992111488,1.826074803,1.913813852,2.992111488,1.961619455,-0.136677129,0.301029996
AM,Sapajus_apella,M,y,9,196,-49.483,-4.65,1.431363764,2.004321374,1.934498451,2.474216264,2.519827994,2.330413773,2.068185862,2.428134794,2.437750563,2.437750563,2.424881637,3.33825723,2.611723308,1.342422681,1.897627091,3.056142262,1.934498451,2.155336037,3.048053173,1.959673283,-0.052076368,0.301029996
